"Additional CSS classes for custom styling","Classes CSS supplémentaires pour personnalisation"
"Badge Store Rating Template","Gabarit du badge de notation globale"
"Badge Store Rating Widget","Badge de notation globale du magasin"
"Badge Template","Gabarit du badge"
"Badge that displays the total number of customer reviews and overall site rating","Badge affichant le nombre total d'avis clients et la note globale du site"
"Based on %1 customer's reviews","Basée sur %1 avis clients"
"Block Template","Gabarit en bloc"
"Cache Lifetime (seconds)","Durée de vie du cache (secondes)"
"Carousel (Slider)","Carrousel (Défilement)"
"Customer Reviews List Widget","Liste des avis clients"
"Customer Reviews List Widget (Advanced)","Liste des avis clients (Avancée)"
"Custom CSS Class","Classe CSS personnalisée"
"Default Cache Lifetime","Durée de vie du cache par défaut"
"Default Minimum Character Length","Longueur minimale de caractères par défaut"
"Default Minimum Character Length for reviews. Leave empty to disable.","Longueur minimale de caractères pour les avis par défaut. Laisser vide pour désactiver."
"Default Minimum Rating","Note minimale par défaut"
"Default minimum rating for reviews display (1-5)","Note minimale par défaut pour l'affichage des avis (1-5)"
"Default number of reviews to display","Nombre d'avis à afficher par défaut"
"Default Reviews Per Page","Avis par page par défaut"
"Display overall store rating above the reviews list","Afficher la note globale du magasin au-dessus de la liste des avis"
"Display Template","Gabarit d'affichage"
"Display visual rating stars indicator","Afficher l'indicateur visuel d'étoiles de notation"
"Displays a filtered list of customer reviews with advanced options","Affiche une liste filtrée d'avis clients avec options avancées"
"Enable Lazy Loading","Activer le chargement différé"
"Enable Schema.org Markup","Activer le balisage Schema.org"
"Filter by Category ID","Filtrer par ID de catégorie"
"Grid Layout","Disposition en grille"
"Highest Rating","Note la plus élevée"
"How long to cache widget data. Default: 86400 (24 hours)","Durée de mise en cache des données du widget. Par défaut : 86400 (24 heures)"
"How to sort the displayed reviews","Comment trier les avis affichés"
"Inline Template","Gabarit en ligne"
"List Layout","Disposition en liste"
"Load reviews via AJAX for better performance","Charger les avis via AJAX pour de meilleures performances"
"Minimum Character Length","Nombre minimum de caractères"
"Minimum number of characters for reviews. Leave empty to disable.","Nombre minimum de caractères pour les avis. Laisser vide pour désactiver."
"Minimum Rating (1-5)","Note minimale (1-5)"
"Minimum Review Length","Longueur minimale de l'avis"
"Most Recent","Plus récents"
"Number of Reviews to Display","Nombre d'avis à afficher"
"Optional title displayed above the reviews list","Titre optionnel affiché au-dessus de la liste des avis"
"Overall rating of %1 out of %2","Note globale de %1 sur %2"
"Random","Aléatoire"
"Rating","Note"
"Rating: %1 out of 5","Note : %1 sur 5"
"Rating: %1 out of 5 stars","Note : %1 étoiles sur 5"
"Review By","Avis de"
"Review Widget Settings","Paramètres du widget d'avis"
"Reviews from Last X Days","Avis des X derniers jours"
"Show Badge Store Rating","Afficher le badge de notation globale"
"Show only reviews for products in this category. Leave empty to show all.","Afficher uniquement les avis pour les produits de cette catégorie. Laisser vide pour tout afficher."
"Show only reviews from the last X days. Leave empty to show all.","Afficher uniquement les avis des X derniers jours. Laisser vide pour tout afficher."
"Show only reviews with this minimum rating. Leave empty to use default from configuration.","Afficher uniquement les avis avec cette note minimale. Laisser vide pour utiliser la valeur par défaut."
"Show Rating Stars","Afficher les étoiles de notation"
"Show Rating Summary","Afficher le pictogramme de notation"
"Show Store Rating Badge","Afficher le badge de notation globale du magasin"
"Sort Order","Ordre de tri"
"Store Rating Badge Widget","Widget badge de notation du magasin"
"View","Voir"
"View Product","Voir le produit"
"Widget Title","Titre du widget"
"Written On","Écrit le"
"Add structured data for better SEO (Rich Snippets)","Ajouter des données structurées pour un meilleur référencement (Rich Snippets)"
"Display only reviews with this minimum rating. Leave empty to use default from configuration.","Afficher uniquement les avis avec cette note minimale. Laisser vide pour utiliser la valeur par défaut de la configuration."